"identifiant" "annee_debut" "annee_fin" "statut" "debut" "fin" "age_continu" "delta" "domaine" "age_discret" "cas" "e0d1" "e0d0" "e1d1" "expire_d" "e1d0" "expire_a" "cas_NA"
"142" "AD0392" 1990 1997 "ABD" 33144 35572 6.65 0 "DTA" 6 "1" 1 0 0 0 0 0 0
"143" "AD0393" 1990 NA "ACT" 33218 NA 10.05 0 "IPSN" 10 "2" 0 1 0 0 0 0 0
"144" "AD0394" 1991 1997 "ABD" 33375 35474 5.73888888888889 0 "DTA" 5 "1" 1 0 0 0 0 0 0
"145" "AD0395" 1991 1995 "ABD" 33584 34837 3.43333333333333 0 "IPSN" 3 "1" 1 0 0 0 0 0 0
"146" "AD0397" 1991 1996 "ABD" 33540 35264 4.71944444444444 0 "DTA" 4 "1" 1 0 0 0 0 0 0
"147" "AD0399" 1991 NA "ACT" 33571 NA 9.08333333333333 0 "DTA" 9 "2" 0 1 0 0 0 0 0
"148" "AD0401" 1991 2000 "ABD" 33422 36602 8.70555555555556 0 "DTA" 8 "1" 1 0 0 0 0 0 0
"149" "AD0402" 1992 1998 "ABD" 33633 36055 6.63055555555556 0 "DTA" 6 "1" 1 0 0 0 0 0 0
"150" "AD0407" 1991 1997 "ABD" 33540 35600 5.63888888888889 0 "DTA" 5 "1" 1 0 0 0 0 0 0
"151" "AD0408" 1989 1994 "ABD" 32801 34654 5.07222222222222 0 "DTA" 5 "3" 0 0 1 0 0 0 0
"152" "AD0412" 1994 1998 "ABD" 34473 35929 3.98611111111111 0 "DTA" 3 "1" 1 0 0 0 0 0 0
"153" "AD0413" 1992 NA "ACT" 33913 NA 8.15 0 "DTA" 8 "2" 0 1 0 0 0 0 0
"154" "AD0414" 1992 2000 "ABD" 33910 36727 7.71666666666667 0 "IPSN" 7 "1" 1 0 0 0 0 0 0
"155" "AD0418" 1993 1998 "ABD" 34072 35871 4.92777777777778 0 "IPSN" 4 "1" 1 0 0 0 0 0 0
"156" "AD0419" 1993 1999 "ABD" 34243 36361 5.80277777777778 0 "IPSN" 5 "1" 1 0 0 0 0 0 0
"157" "AD0420" 1993 NA "ACT" 34135 NA 7.53888888888889 0 "DSV" 7 "2" 0 1 0 0 0 0 0
"158" "AD0421" 1993 1998 "ABD" 34281 35854 4.30555555555556 0 "DTA" 4 "1" 1 0 0 0 0 0 0
"159" "AD0422" 1993 1999 "ABD" 34317 36392 5.68333333333333 0 "DTA" 5 "1" 1 0 0 0 0 0 0
"160" "AD0427" 1994 NA "ACT" 34411 NA 6.78055555555556 0 "DSV" 6 "2" 0 1 0 0 0 0 0
"161" "AD0429" 1994 NA "ACT" 34584 NA 6.31111111111111 0 "DTA" 6 "2" 0 1 0 0 0 0 0
"162" "AD0430" 1995 2000 "ABD" 34730 36818 5.71944444444444 0 "DTA" 5 "1" 1 0 0 0 0 0 0
"163" "AD0431" 1995 1998 "ABD" 34758 36083 3.63055555555556 0 "DTA" 3 "1" 1 0 0 0 0 0 0
"164" "AD0436" 1995 NA "ACT" 34837 NA 5.61388888888889 0 "DSV" 5 "2" 0 1 0 0 0 0 0
"165" "AD0437" 1996 1999 "ABD" 35115 36454 3.66944444444444 0 "DTA" 3 "1" 1 0 0 0 0 0 0
"166" "AD0438" 1996 NA "ACT" 35347 NA 4.22222222222222 0 "DTA" 4 "2" 0 1 0 0 0 0 0
"167" "AD0439" 1996 NA "ACT" 35340 NA 4.24166666666667 0 "DTA" 4 "2" 0 1 0 0 0 0 0
"168" "AD0440" 1998 NA "ACT" 35842 NA 2.86944444444444 0 "DSV" 2 "2" 0 1 0 0 0 0 0
"169" "AD0442" 1997 NA "ACT" 35444 NA 3.95833333333333 0 "DSV" 3 "2" 0 1 0 0 0 0 0
"170" "AD0445" 1998 NA "ACT" 35801 NA 2.98055555555556 0 "DTA" 2 "2" 0 1 0 0 0 0 0
"171" "AD0446" 1997 NA "ACT" 35773 NA 3.05555555555556 0 "DSV" 3 "2" 0 1 0 0 0 0 0
"172" "AD0449" 1998 NA "ACT" 36026 NA 2.36111111111111 0 "DTA" 2 "2" 0 1 0 0 0 0 0
"173" "AD0450" 1998 NA "ACT" 36054 NA 2.28611111111111 0 "DSV" 2 "2" 0 1 0 0 0 0 0
"174" "AD0451" 1998 NA "ACT" 35982 NA 2.48055555555556 0 "DSV" 2 "2" 0 1 0 0 0 0 0
"175" "AD0452" 1999 NA "ACT" 36217 NA 1.84166666666667 0 "DTA" 1 "2" 0 1 0 0 0 0 0
"176" "AD0453" 1999 NA "ACT" 36257 NA 1.72777777777778 0 "DSV" 1 "2" 0 1 0 0 0 0 0
"177" "AD0454" 1999 NA "ACT" 36476 NA 1.13055555555556 0 "DSV" 1 "2" 0 1 0 0 0 0 0
"178" "AD0455" 1999 NA "ACT" 36307 NA 1.58888888888889 0 "DSV" 1 "2" 0 1 0 0 0 0 0
"179" "AD0456" 2000 NA "ACT" 36725 NA 0.447222222222222 0 "DTA" 0 "2" 0 1 0 0 0 0 0
"180" "AD0457" 2000 NA "ACT" 36664 NA 0.613888888888889 0 "DTA" 0 "2" 0 1 0 0 0 0 0
"181" "AD0458" 2000 NA "ACT" 36698 NA 0.522222222222222 0 "DTA" 0 "2" 0 1 0 0 0 0 0
"182" "AD0459" 2000 NA "ACT" 36664 NA 0.613888888888889 0 "DTA" 0 "2" 0 1 0 0 0 0 0
"183" "AD0460" 2000 NA "ACT" 36698 NA 0.522222222222222 0 "DTA" 0 "2" 0 1 0 0 0 0 0
"184" "AD0461" 2000 NA "ACT" 36672 NA 0.591666666666667 0 "DTA" 0 "2" 0 1 0 0 0 0 0
"185" "AD0462" 2000 NA "ACT" 36812 NA 0.211111111111111 0 "DTA" 0 "2" 0 1 0 0 0 0 0
"186" "AD0466" 1999 NA "ACT" 36511 NA 1.03333333333333 0 "DSV" 1 "2" 0 1 0 0 0 0 0
"187" "AD6033" 1972 1989 "ABD" 26416 32862 17.6472222222222 16.6777777777778 NA 17 "3" 0 0 1 0 0 0 0
"188" "AD6213" 1977 1990 "ABD" 28193 33217 13.7527777777778 11.8111111111111 NA 13 "3" 0 0 1 0 0 0 0
"189" "AD6379" 1986 1990 "ABD" 31621 32955 3.65277777777778 2.425 NA 3 "3" 0 0 1 0 0 0 0
"190" "BD0006" 1972 1991 "ABD" 26493 33354 18.7861111111111 16.4666666666667 "DCC" 18 "3" 0 0 1 0 0 0 0
"191" "BD0009" 1972 1992 "EXP" 26438 33743 20 16.6166666666667 "DTA" 20 "4" 0 0 0 1 0 0 0
"192" "BD0015" 1973 1991 "ABD" 26680 33354 18.2777777777778 15.9583333333333 "DCC" 18 "3" 0 0 1 0 0 0 0
"193" "BD0021" 1972 1992 "ABD" 26409 33756 20.1138888888889 16.6972222222222 "DRN" 20 "3" 0 0 1 0 0 0 0
"194" "BD0042" 1972 1991 "ABD" 26479 33354 18.825 16.5055555555556 "DCC" 18 "3" 0 0 1 0 0 0 0
"195" "BD0043" 1972 1992 "EXP" 26438 33743 20 16.6166666666667 "DSM" 20 "4" 0 0 0 1 0 0 0
"196" "BD0045" 1972 1992 "EXP" 26514 33819 20 16.4111111111111 NA 20 "4" 0 0 0 1 0 0 0
"197" "BD0065" 1973 1993 "EXP" 26693 33998 20 15.9222222222222 "DTA" 20 "4" 0 0 0 1 0 0 0
"198" "BD0070" 1972 1991 "ABD" 26610 33406 18.6111111111111 16.15 NA 18 "3" 0 0 1 0 0 0 0
"199" "BD0094" 1973 1991 "ABD" 26729 33581 18.7583333333333 15.8194444444444 "DRN" 18 "3" 0 0 1 0 0 0 0
"200" "BD0095" 1973 1993 "EXP" 26725 34030 20 15.8305555555556 "DTA" 20 "4" 0 0 0 1 0 0 0
"201" "BD0098" 1973 1993 "EXP" 26756 34061 20 15.7472222222222 "DTA" 20 "4" 0 0 0 1 0 0 0
"202" "BD0111" 1973 1990 "ABD" 26851 32955 16.7138888888889 15.4861111111111 NA 16 "3" 0 0 1 0 0 0 0
"203" "BD0113" 1973 1993 "EXP" 26848 34153 20 15.4944444444444 "DCC" 20 "4" 0 0 0 1 0 0 0
"204" "BD0127" 1974 1994 "EXP" 27054 34359 20 14.9333333333333 "DTA" 20 "4" 0 0 0 1 0 0 0
"205" "BD0160" 1974 1994 "EXP" 27075 34380 20 14.8777777777778 "DTA" 20 "4" 0 0 0 1 0 0 0
"206" "BD0167" 1974 1989 "ABD" 27108 32840 15.6888888888889 14.7805555555556 "TECHNICATOME" 15 "3" 0 0 1 0 0 0 0
"207" "BD0168" 1974 1994 "EXP" 27138 34443 20 14.7 "DTA" 20 "4" 0 0 0 1 0 0 0
"208" "BD0170" 1974 1990 "ABD" 27122 32955 15.9722222222222 14.7444444444444 NA 15 "3" 0 0 1 0 0 0 0
